team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
WAS,7/19/2019,1,571578,Patrick Corbin,SP,N,
ATL,7/19/2019,1,660670,Ronald Acuna,1,N,
ATL,7/19/2019,1,621020,Dansby Swanson,2,N,
ATL,7/19/2019,1,518692,Freddie Freeman,3,N,
ATL,7/19/2019,1,518626,Josh Donaldson,4,N,
ATL,7/19/2019,1,663586,Austin Riley,5,N,
ATL,7/19/2019,1,645277,Ozzie Albies,6,N,
ATL,7/19/2019,1,452095,Tyler Flowers,7,N,
ATL,7/19/2019,1,518586,Charlie Culberson,8,N,
ATL,7/19/2019,1,527054,Julio Teheran,SP,N,
OAK,7/19/2019,1,543760,Marcus Semien,1,N,
OAK,7/19/2019,1,656305,Matt Chapman,2,N,
OAK,7/19/2019,1,621566,Matt Olson,3,N,
OAK,7/19/2019,1,501981,Khris Davis,4,N,
OAK,7/19/2019,1,592192,Mark Canha,5,N,
OAK,7/19/2019,1,657656,Ramon Laureano,6,N,
OAK,7/19/2019,1,543257,Robbie Grossman,7,N,
OAK,7/19/2019,1,620439,Franklin Barreto,8,N,
OAK,7/19/2019,1,572033,Josh Phegley,9,N,
OAK,7/19/2019,1,605135,Chris Bassitt,SP,N,
MIN,7/19/2019,1,596146,Max Kepler,1,N,
MIN,7/19/2019,1,593871,Jorge Polanco,2,N,
MIN,7/19/2019,1,443558,Nelson Cruz,3,N,
MIN,7/19/2019,1,592696,Eddie Rosario,4,N,
MIN,7/19/2019,1,641598,Mitch Garver,5,N,
MIN,7/19/2019,1,650333,Luis Arraez,6,N,
MIN,7/19/2019,1,543068,C.J. Cron,7,N,
MIN,7/19/2019,1,570731,Jonathan Schoop,8,N,
MIN,7/19/2019,1,595909,Jake Cave,9,N,
MIN,7/19/2019,1,543606,Jake Odorizzi,SP,N,
TEX,7/19/2019,1,425783,Shin-Soo Choo,1,N,
TEX,7/19/2019,1,542454,Daniel Santana,2,N,
TEX,7/19/2019,1,462101,Elvis Andrus,3,N,
TEX,7/19/2019,1,608336,Joey Gallo,4,N,
TEX,7/19/2019,1,608577,Nomar Mazara,5,N,
TEX,7/19/2019,1,452678,Asdrubal Cabrera,6,N,
TEX,7/19/2019,1,596059,Rougned Odor,7,N,
TEX,7/19/2019,1,425772,Jeff Mathis,8,N,
TEX,7/19/2019,1,592261,Delino DeShields,9,N,
TEX,7/19/2019,1,501985,Mike Minor,SP,N,
HOU,7/19/2019,1,543807,George Springer,1,N,
HOU,7/19/2019,1,514888,Jose Altuve,2,N,
HOU,7/19/2019,1,608324,Alex Bregman,3,N,
HOU,7/19/2019,1,488726,Michael Brantley,4,N,
HOU,7/19/2019,1,670541,Yordan Alvarez,5,N,
HOU,7/19/2019,1,493329,Yulieski Gurriel,6,N,
HOU,7/19/2019,1,455139,Robinson Chirinos,7,N,
HOU,7/19/2019,1,545350,Jacob Marisnick,8,N,
HOU,7/19/2019,1,664702,Myles Straw,9,N,
HOU,7/19/2019,1,434378,Justin Verlander,SP,N,
MIL,7/19/2019,1,456715,Lorenzo Cain,1,N,
MIL,7/19/2019,1,592885,Christian Yelich,2,N,
